"","itemname","itemnumber","participant","receipt","category","amount","itemPrice","rabat","purchdate","purchtime","weekno","monthno","yearno","MerchantName","DateOfBirth","Gender","ContactMe"
"682","jordbaer 400 g","8718226440136","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"683","baadsmand gravad laks","5902973290110","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"684","lakrids is","8716448117294","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"685","mammen langbane","5703985013113","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"686","koekkenrulle","5703855302484","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"687","godt papir toilet","5712873709021","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"688","m&m's peanuts","4011100001305","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"689","hoensesalat","5705830605528","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"690","roser 10stk","5711044042950","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"691","graesfroe eftersaaning","21849054775","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"692","buko naturel","5760466740999","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"693","staudemix","8718534282688","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"694","droemsyn vaegla hvid","60330352","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"695","ananas 1 stk","5701598028777","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"696","oeko loeg 750g","5714341104024","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"697","loegspirer","5708618110306","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"698","smoothie","5710326008356","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"699","poly swing mousse","7332531064309","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"700","kaerg. smoerbar 200g","5760466904919","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"701","pant","8880171","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"702","gm solsikkerugbroed","5712875158575","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"703","budget peber","5710405762988","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"704","salling haandvaerkere","5701014074036","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"705","salat skaalen","5706522223754","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"706","baerepose m/hank","5701012360940","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"707","snack mix","20029494","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"708","flaskepant","294005","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"709","silver label","9312088004001","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"710","agurker","5708567083546","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"711","oeko-bananer","5712872611141","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"712","coca cola 1 fl","57013596","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"713","pant a, 1 stk","7000","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"714","efteraarsbland.","5705830603487","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"715","armoas almond","7312990000209","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"716","jordan tand.","7038516830500","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"717","koekkenruller 4 rl.","5712870925752","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"718","paagen limpan","5710405068813","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"719","oeko bananer","5710405433420","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"720","flaeskesvaer","207594","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"721","velsmag hk. oksekoed","5701050295464","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"722","samsoe 2 kg","5701243700027","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"723","oerredfilet","5707944608013","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"724","spinat helblad. 750g","5712871124277","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"725","colgate plax 500","8714789726168","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"726","gb fuldkornshvedemel","5701410391621","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"727","brunchy baconstrips","5712874149741","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"728","sdr.jysk spegepoelse","5707196234770","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"729","rema 1000 bacon","5705830070401","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"730","kronelys","5710405119805","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"731","baerepose stor","5701012360551","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"732","maxi king","5710405313487","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"733","angelle tomater","5701410380113","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"734","ama flydende","5701043000303","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"735","bornholmerrugbroed","5711044101589","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"736","cheasy yoghurt","5760466793865","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"737","bg julenat 50 cl","5710280500156","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"738","kakaomaelk","8712800189930","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"739","moerbrad m floedekar.","2005300","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"740","limefrugt, loese","611","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"741","toerret lime","5706920283626","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"742","bavaria blu","4006402025128","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"743","oego gouda 200g","5703855112823","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"744","klovborg ml 45+","5760466989701","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"745","tyk roeget spaek m&s","217628","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"746","monster punch 0,5l","5060517887575","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"747","knaestroemper","4002702439306","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"748","pepsi max","5741000013489","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"749","pose","6922","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"750","coca cola 24x0,33l d","500009863","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"751","samsoe kartofler","5701012130031","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"752","6 skrabeaeg","5701607583365","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"753","ritter sport","5712580803418","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"754","oeko. kartofler","5705830700025","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"755","oego skagenslapper","5712874041960","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"756","napoleonshat","98717","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"757","j for jul 6stk","5701598038608","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"758","flaskepant","294005","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"759","majs 285g","5712235150201","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"760","fuldkornspita","5705830007308","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"761","bademaatte","5704039333652","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"762","frilandsaeg","5701607585529","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"763","cheddargrillere","5707196261134","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"764","carletti skumbananer","5701049115803","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"765","oeko levevis 10 m/l","5701607587042","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"766","letmaelk","5701012549833","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"767","cocio iskaffe espres","5730800523755","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"768","coca cola zero 1,5l","57045818","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"769","pommes","5705830602145","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"770","boernelampe","5713142033991","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"771","them ml. 45+ danbo","237757","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"772","zendium","8710604777148","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"773","groenne druer","101564","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"774","fuldk. tortillas","7032069711231","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"775","oeko bananer, loese","5712873336944","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"776","pant","8880173","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"777","hummus","5407005250662","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"778","fiskars kniv","5710405151416","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"779","det gode solsikkerug","5701205001582","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"780","oscar fri.and 3000g","5706911000591","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"781","mat. kakaomaelk","5704062370846","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"782","mini salami","5712580945767","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"783","palmolive roll-on","8718951128279","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"784","knive 15-pak","5701161711099","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"785","oeko ruccola 75g","5712872262145","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"786","dr. oetker pas. from","4023600014914","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"787","rabat - matas striber oejenmakeup fjerner rejsestoerrelse 40 ml","","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"788","chicken salad","9601","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"789","naanbroed hvidloeg","5710326019932","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"790","skummetmaelk","5701012550068","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"791","magnum hvid 3 stk","8712566331963","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"792","flaeskesvaer hjemmelav","206476","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"793","froosh smoothie","7350020720758","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"794","marineret ribeye","5707735943347","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"795","spidskaal","5711044697679","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"796","lurpak smoerbar 200g","5740900403376","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"797","druer i bakke","8427660000911","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"798","jordbaergroed","5712870581729","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"799","sproed kaalsalat","5705830604729","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"800","granataebler","500","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"801","salt/peber chips","5712872854852","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"802","cremefraiche","5760466920643","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"803","soemploekker 23 cm 6-p","22229045199","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"804","carte dor vanilie","8714100377048","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"805","grolsch 33 cl.","87167474","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"806","paalaegschoko.","5705830080271","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"807","gravad laks","5705830605245","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"808","frys selv","8002267002270","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"809","1 kg. guleroedder","5701243200381","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"810","haribo nappar","5996379193731","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"811","all in one fuldkorn","5709364560070","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"812","frilandsaeg 10stk m/l","5701607585543","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"813","hindbaer marm.","5705830000743","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"814","jordbaerroulade","2053140000001","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"815","leffe brune 75 cl","5707323644816","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"816","bloklys","5701141055281","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"817","pige nattoej","5712872237907","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"818","melon galia","743","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"819","viking flaskeautomat","9999","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"820","oego pasta penne","5712871081761","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"821","koldskaal","5700426295008","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"822","tun i vand","5000171052438","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"823","tomater","8714521950356","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"824","oeko. rosiner","5706779036770","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"825","helbladet spinat","5712873642526","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"826","3-stjerne koedpoelse b","5704080955841","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"827","president brie","5906207520073","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"828","fanta appelsin 33cl","5740700985744","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"829","honning melon","5712871545737","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"830","oeko arla smoer 200g","5711953025365","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"831","kart.spegepoelse","5703603109891","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"832","lurpak smoerbar 200g","5740900403376","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"833","rexona roll on aloe vera 50ml","2012070","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"834","maduko mild roed ched","5712872292425","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"835","lagerman konfekt","7310350128341","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"836","pant","8880173","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"837","melorme sco","5700002055118","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"838","lurpak smoer 200g","5740900403383","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"839","castus jul","5707653007947","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"840","fresca daeoro mozzare","7611612160056","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"841","ingefaershot","57081809","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"842","tuborg squash light","500101081","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"843","frugtkom. aeble 1l","5712872937289","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"844","pant","8880172","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"845","oego hakkede tomater","5712870936925","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"846","haarboerste","8719202217506","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"847","fun ligth solbaer","5701018050982","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"848","bld.paaskeps.150g","4008613002219","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"849","hakket spinat","5705830002464","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"850","afisoleringstang","31219037402","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"851","navito makrel","5712872090069","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"852","oeko naturli havredri","5701977012038","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"853","oeko agurk","5710405535797","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"854","gestus solsikkerugbr","5701410391706","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"855","rodmix 1,5 kg","5711044198411","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"856","coca cola zero","57095936","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"857","flensted mayonnaise","5707298004202","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"858","pant","8880172","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"859","dolmio bechamel","4002359003769","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"860","appelsiner 2 kg","5701410381622","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"861","pant","8880171","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"862","guld b. organge knas","5774540122809","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"863","bondebroed","5712874822156","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"864","snack brunchpoelse","5707196204339","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"865","kinder maxi","5710405056841","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"866","kapers","5712871095171","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"867","pant","8880171","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"868","baerepose stor","5701012360551","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"869","hel kylling meny 120","5701410367961","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"870","sukker 2 kg","5710405796846","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"871","oeko arla soedmaelk 1l","5700426293905","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"872","makrel/chili","4018344592712","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"873","nupo chocolate","5715667900000","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"874","fint salt maskinopv.","5701027000053","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"875","pant","8880171","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"876","choko muffins","98423","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"877","oego graeskarkerner","5712871873298","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"878","oeko skyllet spinat","5712873756452","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"879","romanesco mix","5710405180706","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"880","haricots verts","5712871043479","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"881","daasepant","295015","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"882","pose","6922","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"883","abela valley red 3l","500017012","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"884","slagboremaskine 6398","8710364075416","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
"885","matilde milkshake ca","5711953068218","participant_2",NA,NA,1,0,0,2023-04-18,NA,NA,NA,NA,"Store 1",NA,NA,NA
